Filename;letter1;letter2;font1;scale_x1;scale_y1;move_X1;letter_thickness1;baseline1;font2;scale_x2;scale_y2;move_X2;letter_thickness2;baseline2
SF-A-B;A;B;Roboto Mono:Bold;;0.75;-0.6;0.3;10;Roboto Mono:Bold;;0.75;-0.6;0.3;10
SF-B-C;B;C;Roboto Mono:Bold;0.7;;-0.6;0.3;10;Roboto Mono:Bold;0.7;;-0.6;0.3;10
SF-C-D;C;D;Roboto Mono:Bold;0.7;0.75;;0.3;10;Roboto Mono:Bold;0.7;0.75;;0.3;10
SF-D-E;D;E;Roboto Mono:Bold;0.7;0.75;-0.6;;10;Roboto Mono:Bold;0.7;0.75;-0.6;;10
SF-E-F;E;F;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;
SF-F-G;F;G;Roboto Mono:Bold;;;-0.6;0.3;10;Roboto Mono:Bold;;;-0.6;0.3;10
SF-G-H;G;H;Roboto Mono:Bold;0.7;;;0.3;10;Roboto Mono:Bold;0.7;;;0.3;10
SF-H-I;H;I;Roboto Mono:Bold;0.7;0.75;;;10;Roboto Mono:Bold;0.7;0.75;;;10
SF-I-J;I;J;Roboto Mono:Bold;0.7;0.75;-0.6;;;Roboto Mono:Bold;0.7;0.75;-0.6;;
SF-J-K;J;K;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10
SF-K-L;K;L;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10
SF-L-M;L;M;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10
SF-M-N;M;N;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10
SF-N-O;N;O;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10;Roboto Mono:Bold;0.7;0.75;-0.6;0.3;10
